TP,TN,FP,FN,FPR,FNR,TPR,TNR,race,N,FPR_gap_vs_min,FNR_gap_vs_min
410,352,204,158,0.3669064748201439,0.27816901408450706,0.721830985915493,0.6330935251798561,African-American,1124,0.3669064748201439,0.0
106,369,70,157,0.15945330296127563,0.596958174904943,0.40304182509505704,0.8405466970387244,Caucasian,702,0.15945330296127563,0.3187891608204359
18,108,7,68,0.06086956521739131,0.7906976744186046,0.20930232558139536,0.9391304347826087,Hispanic,201,0.06086956521739131,0.5125286603340975
8,71,1,43,0.013888888888888888,0.8431372549019608,0.1568627450980392,0.9861111111111112,Other,123,0.013888888888888888,0.5649682408174537
0,4,0,4,0.0,1.0,0.0,1.0,Asian,8,0.0,0.721830985915493
1,3,0,3,0.0,0.75,0.25,1.0,Native American,7,0.0,0.47183098591549294
