TP,TN,FP,FN,FPR,FNR,TPR,TNR,sex,N,FPR_gap_vs_min,FNR_gap_vs_min
506,642,271,319,0.2968236582694414,0.3866666666666666,0.6133333333333333,0.7031763417305587,Male,1738,0.2569685858056733,0.0
37,265,11,114,0.0398550724637681,0.7549668874172185,0.2450331125827814,0.960144927536232,Female,427,0.0,0.3683002207505518
