TP,TN,FP,FN,FPR,FNR,TPR,TNR,race,N,FPR_gap_vs_min,FNR_gap_vs_min
410,352,204,158,0.3669064748201439,0.278169014084507,0.721830985915493,0.6330935251798561,African-American,1124,0.3669064748201439,0.0
106,369,70,157,0.1594533029612756,0.596958174904943,0.403041825095057,0.8405466970387244,Caucasian,702,0.1594533029612756,0.3187891608204359
18,108,7,68,0.0608695652173913,0.7906976744186046,0.2093023255813953,0.9391304347826088,Hispanic,201,0.0608695652173913,0.5125286603340975
8,71,1,43,0.0138888888888888,0.8431372549019608,0.1568627450980392,0.9861111111111112,Other,123,0.0138888888888888,0.5649682408174537
0,4,0,4,0.0,1.0,0.0,1.0,Asian,8,0.0,0.721830985915493
1,3,0,3,0.0,0.75,0.25,1.0,Native American,7,0.0,0.4718309859154929
